log_id,seat_id,phone_number,usage_id,ticket_type,remaining_time,action,description,created_at
119,14,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-08 00:59:02
120,1,010-5030-5494,1017,TIME,136,CHECK_OUT,1번 좌석 정상 퇴실,2026-07-08 02:06:35
121,23,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-08 02:14:37
122,16,010-5745-3431,1036,PERIOD,,CHECK_IN,16번 좌석 사용자 입실,2026-07-08 03:37:48
123,4,010-5745-3431,1031,PERIOD,,CHECK_OUT,4번 좌석 정상 퇴실,2026-07-08 03:46:29
124,16,010-5745-3431,1036,PERIOD,,CHECK_OUT,16번 좌석 정상 퇴실,2026-07-08 04:38:48
125,5,010-5409-3075,1081,TIME,360,CHECK_IN,5번 좌석 사용자 입실,2026-07-08 05:06:01
126,5,010-5409-3075,1081,TIME,254,CHECK_OUT,5번 좌석 정상 퇴실,2026-07-08 06:52:01
127,22,010-2291-8638,1095,TIME,360,CHECK_IN,22번 좌석 사용자 입실,2026-07-08 07:01:51
128,8,010-8564-2150,1087,TIME,540,CHECK_IN,8번 좌석 사용자 입실,2026-07-08 07:43:06
129,22,010-2291-8638,1095,TIME,262,FORCE_CHECKOUT,22번 좌석 관리자 강제 퇴실,2026-07-08 08:39:51
130,22,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-08 09:12:04
131,4,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-08 10:34:26
132,8,010-8564-2150,1087,TIME,355,CHECK_OUT,8번 좌석 정상 퇴실,2026-07-08 10:48:06
133,1,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-08 11:29:19
134,15,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-08 11:33:07
135,21,010-7781-9206,1040,PERIOD,,CHECK_IN,21번 좌석 사용자 입실,2026-07-08 12:54:55
136,22,010-7597-5162,1112,PERIOD,,CHECK_IN,22번 좌석 사용자 입실,2026-07-08 13:14:30
137,21,010-7781-9206,1040,PERIOD,,AUTO_CHECKOUT,21번 좌석 이용시간 종료로 자동 퇴실,2026-07-08 16:45:55
138,22,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-08 17:09:27
139,22,010-7597-5162,1112,PERIOD,,CHECK_OUT,22번 좌석 정상 퇴실,2026-07-08 18:15:30
140,23,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-08 19:26:39
141,16,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-08 19:27:48
142,7,010-7781-9206,1016,TIME,720,CHECK_IN,7번 좌석 사용자 입실,2026-07-08 22:11:26
143,3,010-5689-4540,1012,TIME,240,CHECK_IN,3번 좌석 사용자 입실,2026-07-08 22:45:45
144,3,010-5689-4540,1012,TIME,178,CHECK_OUT,3번 좌석 정상 퇴실,2026-07-08 23:47:45
145,7,010-7781-9206,1016,TIME,554,CHECK_OUT,7번 좌석 정상 퇴실,2026-07-09 00:57:26
146,3,010-8885-2045,1010,TIME,540,CHECK_IN,3번 좌석 사용자 입실,2026-07-09 04:32:41
147,18,010-8885-2045,1069,PERIOD,,CHECK_IN,18번 좌석 사용자 입실,2026-07-09 05:13:28
148,12,010-5745-3431,1008,PERIOD,,CHECK_IN,12번 좌석 사용자 입실,2026-07-09 05:32:34
149,12,010-5745-3431,1008,PERIOD,,CHECK_OUT,12번 좌석 정상 퇴실,2026-07-09 06:49:34
150,6,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-09 07:45:34
151,18,010-8885-2045,1069,PERIOD,,CHECK_OUT,18번 좌석 정상 퇴실,2026-07-09 08:47:28
152,5,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-09 10:02:13
153,25,010-3959-8499,1056,TIME,240,CHECK_IN,25번 좌석 사용자 입실,2026-07-09 10:28:20
154,25,010-3959-8499,1056,TIME,212,CHECK_OUT,25번 좌석 정상 퇴실,2026-07-09 10:56:20
155,3,010-8885-2045,1010,TIME,54,CHECK_OUT,3번 좌석 정상 퇴실,2026-07-09 12:38:41
156,1,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-09 16:27:02
157,6,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-09 18:13:28
158,16,010-8648-9552,1057,PERIOD,,CHECK_IN,16번 좌석 사용자 입실,2026-07-09 21:45:19
159,6,010-5084-2082,1101,TIME,120,CHECK_IN,6번 좌석 사용자 입실,2026-07-09 22:40:19
160,6,010-5084-2082,1101,TIME,28,CHECK_OUT,6번 좌석 정상 퇴실,2026-07-10 00:12:19
161,17,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-10 03:16:36
162,16,010-8648-9552,1057,PERIOD,,CHECK_OUT,16번 좌석 정상 퇴실,2026-07-10 03:24:19
163,25,010-8782-2438,1085,PERIOD,,CHECK_IN,25번 좌석 사용자 입실,2026-07-10 04:00:55
164,18,010-2291-8638,1048,TIME,540,CHECK_IN,18번 좌석 사용자 입실,2026-07-10 06:29:37
165,6,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-10 08:51:42
166,25,010-8782-2438,1085,PERIOD,,CHECK_OUT,25번 좌석 정상 퇴실,2026-07-10 10:25:55
167,17,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-10 10:36:33
168,18,010-2291-8638,1048,TIME,291,CHECK_OUT,18번 좌석 정상 퇴실,2026-07-10 10:38:37
169,24,010-8540-1633,1027,PERIOD,,CHECK_IN,24번 좌석 사용자 입실,2026-07-10 13:47:41
170,18,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-10 17:12:27
171,3,010-2291-8638,1001,TIME,240,CHECK_IN,3번 좌석 사용자 입실,2026-07-10 17:16:49
172,3,010-2291-8638,1001,TIME,189,CHECK_OUT,3번 좌석 정상 퇴실,2026-07-10 18:07:49
173,3,010-8648-9552,1108,PERIOD,,CHECK_IN,3번 좌석 사용자 입실,2026-07-10 18:22:47
174,3,010-2291-8638,1117,TIME,360,CHECK_IN,3번 좌석 사용자 입실,2026-07-10 18:50:35
175,3,010-8648-9552,1108,PERIOD,,CHECK_OUT,3번 좌석 정상 퇴실,2026-07-10 19:01:47
176,22,010-7567-8821,1018,TIME,120,CHECK_IN,22번 좌석 사용자 입실,2026-07-10 21:51:35
177,24,010-8540-1633,1027,PERIOD,,CHECK_OUT,24번 좌석 정상 퇴실,2026-07-10 22:36:41
178,3,010-2291-8638,1117,TIME,128,CHECK_OUT,3번 좌석 정상 퇴실,2026-07-10 22:42:35
179,22,010-7567-8821,1018,TIME,55,FORCE_CHECKOUT,22번 좌석 관리자 강제 퇴실,2026-07-10 22:56:35
180,18,010-4947-4735,1060,TIME,120,CHECK_IN,18번 좌석 사용자 입실,2026-07-11 06:24:36
181,18,010-4947-4735,1060,TIME,25,CHECK_OUT,18번 좌석 정상 퇴실,2026-07-11 07:59:36
182,14,010-8648-9552,1053,TIME,720,CHECK_IN,14번 좌석 사용자 입실,2026-07-11 08:07:18
183,5,010-9888-3363,1075,TIME,540,CHECK_IN,5번 좌석 사용자 입실,2026-07-11 10:30:22
184,5,010-9888-3363,1075,TIME,467,CHECK_OUT,5번 좌석 정상 퇴실,2026-07-11 11:43:22
185,15,010-2450-5512,1094,TIME,240,CHECK_IN,15번 좌석 사용자 입실,2026-07-11 11:49:48
186,14,010-8648-9552,1053,TIME,471,CHECK_OUT,14번 좌석 정상 퇴실,2026-07-11 12:16:18
187,24,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-11 12:40:49
188,23,010-7140-5442,1070,TIME,540,CHECK_IN,23번 좌석 사용자 입실,2026-07-11 13:22:37
189,1,010-3065-6284,1011,PERIOD,,CHECK_IN,1번 좌석 사용자 입실,2026-07-11 14:30:17
190,5,010-7209-9161,1078,TIME,240,CHECK_IN,5번 좌석 사용자 입실,2026-07-11 14:33:18
191,15,010-2450-5512,1094,TIME,73,FORCE_CHECKOUT,15번 좌석 관리자 강제 퇴실,2026-07-11 14:36:48
192,3,010-8564-2150,1007,TIME,120,CHECK_IN,3번 좌석 사용자 입실,2026-07-11 15:35:15
193,5,010-7209-9161,1078,TIME,0,AUTO_CHECKOUT,5번 좌석 이용시간 종료로 자동 퇴실,2026-07-11 15:40:18
194,3,010-8564-2150,1007,TIME,58,CHECK_OUT,3번 좌석 정상 퇴실,2026-07-11 16:37:15
195,23,010-7140-5442,1070,TIME,304,CHECK_OUT,23번 좌석 정상 퇴실,2026-07-11 17:18:37
196,5,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-11 17:38:34
197,21,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-11 17:38:49
198,1,010-3065-6284,1011,PERIOD,,CHECK_OUT,1번 좌석 정상 퇴실,2026-07-11 17:50:17
199,2,010-8885-2045,1047,PERIOD,,CHECK_IN,2번 좌석 사용자 입실,2026-07-11 17:57:16
200,2,010-7781-9206,1068,TIME,360,CHECK_IN,2번 좌석 사용자 입실,2026-07-11 18:20:36
201,20,010-5553-3720,1009,TIME,360,CHECK_IN,20번 좌석 사용자 입실,2026-07-11 19:16:54
202,9,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-11 19:46:00
203,1,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-11 21:53:30
204,2,010-7781-9206,1068,TIME,103,CHECK_OUT,2번 좌석 정상 퇴실,2026-07-11 22:37:36
205,19,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-12 00:23:39
206,20,010-5553-3720,1009,TIME,9,CHECK_OUT,20번 좌석 정상 퇴실,2026-07-12 01:07:54
207,2,010-8885-2045,1047,PERIOD,,CHECK_OUT,2번 좌석 정상 퇴실,2026-07-12 01:15:16
208,12,010-7597-5162,1025,TIME,120,CHECK_IN,12번 좌석 사용자 입실,2026-07-12 07:46:54
209,12,010-7597-5162,1025,TIME,53,CHECK_OUT,12번 좌석 정상 퇴실,2026-07-12 08:53:54
210,5,010-2291-8638,1029,TIME,540,CHECK_IN,5번 좌석 사용자 입실,2026-07-12 09:52:41
211,3,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-12 10:36:33
212,1,010-7786-4420,1058,PERIOD,,CHECK_IN,1번 좌석 사용자 입실,2026-07-12 12:58:50
213,1,010-7786-4420,1058,PERIOD,,CHECK_OUT,1번 좌석 정상 퇴실,2026-07-12 14:00:50
214,16,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-12 16:07:56
215,25,010-2407-7080,1089,TIME,360,CHECK_IN,25번 좌석 사용자 입실,2026-07-12 16:22:52
216,25,010-2407-7080,1089,TIME,331,CHECK_OUT,25번 좌석 정상 퇴실,2026-07-12 16:51:52
217,13,010-2866-6006,1005,PERIOD,,CHECK_IN,13번 좌석 사용자 입실,2026-07-12 17:42:37
218,4,010-7209-9161,1059,PERIOD,,CHECK_IN,4번 좌석 사용자 입실,2026-07-12 17:54:34
219,5,010-2291-8638,1029,TIME,24,CHECK_OUT,5번 좌석 정상 퇴실,2026-07-12 18:28:41
220,4,010-7209-9161,1059,PERIOD,,AUTO_CHECKOUT,4번 좌석 이용시간 종료로 자동 퇴실,2026-07-12 18:44:34
221,19,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-12 19:19:00
222,13,010-2866-6006,1005,PERIOD,,CHECK_OUT,13번 좌석 정상 퇴실,2026-07-12 23:47:37
223,14,010-8540-1633,1067,TIME,540,CHECK_IN,14번 좌석 사용자 입실,2026-07-13 01:22:00
224,13,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-13 01:35:11
225,13,010-8885-2045,1088,PERIOD,,CHECK_IN,13번 좌석 사용자 입실,2026-07-13 02:16:10
226,1,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-13 03:51:33
227,14,010-8540-1633,1067,TIME,254,FORCE_CHECKOUT,14번 좌석 관리자 강제 퇴실,2026-07-13 06:08:00
228,13,010-8885-2045,1088,PERIOD,,CHECK_OUT,13번 좌석 정상 퇴실,2026-07-13 07:43:10
229,15,010-2313-2364,1061,TIME,240,CHECK_IN,15번 좌석 사용자 입실,2026-07-13 15:29:11
230,15,010-2313-2364,1061,TIME,0,AUTO_CHECKOUT,15번 좌석 이용시간 종료로 자동 퇴실,2026-07-13 17:37:11
231,17,010-8540-1633,1022,PERIOD,,CHECK_IN,17번 좌석 사용자 입실,2026-07-13 17:43:27
232,1,010-2291-8638,1111,PERIOD,,CHECK_IN,1번 좌석 사용자 입실,2026-07-13 20:01:23
233,8,010-6449-9869,1105,TIME,360,CHECK_IN,8번 좌석 사용자 입실,2026-07-13 21:07:25
234,14,010-8540-1633,1063,PERIOD,,CHECK_IN,14번 좌석 사용자 입실,2026-07-13 21:15:19
235,17,010-8540-1633,1022,PERIOD,,CHECK_OUT,17번 좌석 정상 퇴실,2026-07-14 00:38:27
236,8,010-6449-9869,1105,TIME,95,CHECK_OUT,8번 좌석 정상 퇴실,2026-07-14 01:32:25
237,1,010-2291-8638,1111,PERIOD,,CHECK_OUT,1번 좌석 정상 퇴실,2026-07-14 01:46:23
238,14,010-8540-1633,1063,PERIOD,,CHECK_OUT,14번 좌석 정상 퇴실,2026-07-14 03:19:19
239,15,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-14 04:12:40
240,6,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-14 05:25:30
241,14,010-1221-2066,1055,PERIOD,,CHECK_IN,14번 좌석 사용자 입실,2026-07-14 05:33:03
242,8,010-3959-8499,1113,TIME,360,CHECK_IN,8번 좌석 사용자 입실,2026-07-14 05:48:43
243,19,010-5084-2082,1083,PERIOD,,CHECK_IN,19번 좌석 사용자 입실,2026-07-14 05:52:49
